VIN,Plate Number,Vehicle Year,Vehicle Make,Vehicle Model,Group Policy Insurer Name,Group Policy Number,Group Policy Expiration Date,Peer To Peer Company Name,Peer To Peer Vehicle Added Date
JTHBK1GG6F2175084,KYZ1000,2015,Lexus,ES,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,10/21/2022 12:00:00 AM
JTHBK1GG6G2229761,LFC6092,2016,Lexus,ES,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,09/05/2023 12:00:00 AM
JTHBL5EF9F5133957,KZX3955,2015,Lexus,LS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,06/23/2023 12:00:00 AM
JTHC81D20J5028715,KXS3878,2018,Lexus,IS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,11/09/2022 12:00:00 AM
JTHC81D28J5026551,NOWSMILE,2018,Lexus,IS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/16/2022 12:00:00 AM
JTHCE1BL9FA005596,JHZ2444,2015,Lexus,GS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,09/12/2022 12:00:00 AM
JTHCE1D27G5011699,LDD1656,2016,Lexus,IS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/26/2022 12:00:00 AM
JTHCE1D28E5001177,LDY1338,2014,Lexus,IS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,02/12/2023 12:00:00 AM
JTHCF1D28E5006666,LDT3029,2014,Lexus,IS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/03/2023 12:00:00 AM
JTHCF5C20C5055396,HLF1891,2012,Lexus,IS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,07/18/2023 12:00:00 AM
JTHCM1D23G5004185,LFR6264,2016,Lexus,IS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,10/14/2023 12:00:00 AM
JTHCZ1BL4JA008886,KWU8544,2018,Lexus,GS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,07/28/2023 12:00:00 AM
JTHD81F20P5052040,LCU5573,2023,Lexus,IS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,07/11/2023 12:00:00 AM
JTHD81F24P5050498,KZL7362,2023,Lexus,IS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,12/20/2022 12:00:00 AM
